site,property,latitude,longitude,elevation.m,sampling.year,initial.2020,primary.2020,initial.2021,primary.2021
2020eco_Bell,Bell_2020_05,31.0894,-97.413218,157,2020,6/19/20,NA,NA,NA
2020eco_Bexar,Bexar_2019_13,29.244832,-98.427454,154,2020,6/18/20,7/19/20,NA,NA
2020eco_Blanco,Blanco_2019_16,29.986237,-98.429976,434,2020,6/17/20,NA,NA,NA
2020eco_Brazos18,Brazos_2020_18,30.524669,-96.209114,73,2020,6/20/20,NA,NA,NA
2020eco_Comal,Comal_2020_21,29.787704,-98.434563,351,2020,6/17/20,NA,NA,NA
2020eco_Edwards,Edwards_2019_17,29.953118,-100.356582,694,2020,6/15/20,NA,NA,NA
2020eco_Fayette,Fayette_2019_04,30.093534,-96.780727,114,2020,6/20/20,NA,NA,NA
2020eco_Harris,Harris_2020_03,29.877754,-95.309644,23,2020,6/21/20,7/17/20,NA,NA
2020eco_Menard,Menard_2020_01,30.912522,-99.573082,553,2020,6/16/20,7/21/20,NA,NA
2020eco_Russel,Russel_2020_01,30.390675,-96.906408,120,2020,6/20/20,NA,NA,NA
2020eco_Sansaba,Sansaba_2020_01,31.28807,-98.619493,351,2020,6/16/20,NA,NA,NA
2020eco_Uvalde,Uvalde_2020_02,29.591111,-100.091111,482,2020,6/15/20,7/20/20,NA,NA
2020eco_Williamson09,Williamson_2019_09,30.706792,-97.859829,271,2020,6/19/20,NA,NA,NA
2020eco_Williamson10,Williamson_2019_10,30.539935,-97.771213,253,2020,6/19/20,7/18/20,NA,NA
2021eco_Austin,Austin_2020_03,29.776805,-96.24351,66,2021,NA,NA,5/29/21,NA
2021eco_Bandera,Bandera_2020_03,29.850369,-99.304193,469,2021,NA,NA,5/25/21,6/27/21
2021eco_Bell,Bell_2021_08,31.055926,-97.549379,252,2021,NA,NA,5/28/21,6/26/21
2021eco_Brazos16,Brazos_2020_16,30.926287,-96.225878,77,2021,NA,NA,5/30/21,NA
2021eco_Brazos18,Brazos_2020_18,30.524669,-96.209114,73,2021,NA,NA,5/30/21,NA
2021eco_Burnet12,Burnet_2020_12,30.824885,-98.059505,360,2021,NA,NA,5/27/21,6/26/21
2021eco_Burnet14,Burnet_2020_14,30.840194,-98.343954,321,2021,NA,NA,5/27/21,NA
2021eco_Comal,Comal_2020_19,30.00668,-98.31665,391,2021,NA,NA,5/26/21,NA
2021eco_Fayette09,Fayette_2020_09,29.860296,-96.71418,103,2021,NA,NA,5/29/21,NA
2021eco_Fayette12,Fayette_2021_12,29.864081,-97.206843,154,2021,NA,NA,5/28/21,NA
2021eco_Harris,Harris_2020_03,29.877754,-95.309644,23,2021,NA,NA,6/1/21,6/25/21
2021eco_Hays,Hays_2021_54,29.957819,-98.165764,276,2021,NA,NA,5/26/21,NA
2021eco_Kerr,Kerr_2020_03,30.055868,-99.341589,551,2021,NA,NA,5/25/21,NA
2021eco_Menard,Menard_2020_01,30.912522,-99.573082,553,2021,NA,NA,9/30/21,NA
2021eco_Uvalde,Uvalde_2020_02,29.591111,-100.091111,482,2021,NA,NA,5/24/21,6/28/21
2021eco_Washington,Washington_2020_08,30.284962,-96.406236,107,2021,NA,NA,5/31/21,NA
